250,8,0
251,9,0
252,10,0
253,11,0
254,12,0
255,13,0
256,14,0
257,15,0
258,16,0
259,17,0
260,18,0
261,19,0
262,20,0
263,21,0
264,22,0
265,23,0
266,24,0
266,25,1
267,26,0
268,27,0
269,28,0
270,29,0
270,30,1
271,31,0
272,32,0
273,33,0
274,34,0
275,35,0
276,36,0
277,53,0
1,55,0
2,56,0
2,362,1
2,57,1
3,58,0
4,59,0
5,60,0
5,61,1
6,62,0
7,63,0
8,64,0
9,65,0
10,66,0
10,67,2
11,68,0
12,69,0
13,70,0
14,71,0
15,72,0
16,73,0
17,363,0
17,74,0
18,75,0
19,76,0
20,364,0
20,77,0
21,365,0
21,78,0
22,79,0
23,366,0
23,80,0
24,81,0
25,82,0
26,83,0
27,84,0
28,85,0
28,86,2
29,87,0
30,88,0
30,57,1
31,89,0
32,90,0
32,91,1
32,92,2
32,367,3
32,93,3
33,94,0
33,95,1
34,96,0
35,97,0
35,98,1
36,99,0
37,100,0
38,101,0
39,102,0
40,103,0
40,368,1
40,104,1
41,105,0
41,362,1
41,57,1
42,106,0
42,107,1
42,369,2
42,108,2
43,109,0
44,110,0
45,111,0
46,370,0
46,112,0
46,57,1
47,371,0
47,113,0
47,372,1
47,114,1
47,362,2
47,57,2
48,115,0
49,373,0
49,116,0
50,117,0
51,117,0
51,374,2
51,118,2
51,369,3
51,108,3
52,119,0
52,362,1
52,57,1
53,120,0
53,121,1
54,122,0
54,123,1
54,375,2
54,124,2
55,125,0
56,126,0
57,376,0
57,127,0
58,128,0
58,369,1
58,108,1
59,129,0
60,130,0
61,131,0
62,132,0
62,369,1
62,108,1
63,133,0
64,134,0
65,135,0
65,136,1
66,377,0
66,137,0
66,138,1
67,139,0
68,140,0
69,141,0
70,142,0
70,362,1
70,57,1
70,378,2
70,143,2
71,379,0
71,144,0
71,362,1
71,57,1
72,145,0
73,146,0
74,380,0
74,147,0
75,148,0
75,149,1
76,148,0
76,150,1
77,148,0
77,151,1
77,381,2
77,93,2
78,152,0
79,153,0
80,154,0
81,382,0
81,155,0
82,156,0
83,157,0
84,383,0
84,158,0
85,159,0
86,160,0
87,384,0
87,161,0
88,162,0
89,163,0
90,385,0
90,164,0
91,138,0
92,138,0
92,165,1
93,166,0
94,167,0
95,168,0
95,57,1
95,169,3
95,362,4
95,57,4
96,386,0
96,170,0
96,171,1
96,172,2
96,387,3
96,173,3
96,174,4
97,388,0
97,175,0
98,176,0
98,177,1
99,389,0
99,178,0
100,179,0
101,180,0
102,181,0
103,182,0
103,390,1
103,183,1
103,369,2
103,108,2
104,184,0
105,185,0
106,391,0
106,186,0
106,9,2
107,187,0
108,392,0
108,188,0
109,189,0
110,190,0
111,393,0
111,191,0
112,192,0
113,193,0
114,194,0
115,195,0
116,196,0
116,374,1
116,118,1
116,394,2
116,197,2
116,198,3
116,369,4
116,108,4
117,196,0
117,369,1
117,108,1
118,199,0
119,200,0
120,201,0
120,394,1
120,197,1
120,198,2
120,374,3
120,118,3
120,369,4
120,108,4
121,202,0
122,203,0
123,204,0
124,205,0
125,206,0
125,207,1
125,208,2
126,209,0
127,210,0
128,211,0
129,212,0
130,213,0
130,214,2
130,215,3
130,369,4
130,108,4
131,216,0
132,217,0
133,218,0
134,395,0
134,219,0
135,220,0
136,221,0
137,396,0
137,222,0
137,362,1
137,57,1
138,397,0
138,223,0
139,224,0
140,398,0
140,225,0
141,399,0
141,226,0
142,227,0
143,228,0
143,400,1
143,229,1
143,401,2
143,174,2
144,230,0
144,369,1
144,108,1
145,231,0
146,232,0
147,233,0
148,234,0
149,235,0
150,402,0
150,236,0
151,237,0
152,238,0
153,239,0
154,240,0
155,403,0
155,241,0
156,403,0
156,241,0
156,404,1
156,242,1
157,243,0
157,244,1
158,243,0
158,245,1
159,246,0
160,247,0
161,248,0
162,249,0
163,250,0
163,57,1
164,251,0
164,252,1
164,362,2
164,57,2
165,405,0
165,253,0
166,254,0
167,255,0
168,256,0
169,257,0
169,367,1
169,93,1
169,406,2
169,258,2
170,259,0
171,260,0
171,243,1
171,138,2
172,407,0
172,261,0
173,262,0
174,408,0
174,263,0
175,264,0
176,265,0
177,409,0
177,266,0
178,267,0
178,268,1
179,269,0
180,270,0
181,271,0
182,272,0
182,410,1
182,229,1
183,273,0
184,274,0
184,411,1
184,275,1
185,274,0
185,276,1
186,274,0
186,412,1
186,277,1
186,413,3
186,278,3
187,274,0
187,279,1
188,274,0
188,280,1
189,274,0
189,414,1
189,281,1
189,282,3
190,274,0
190,283,1
190,415,4
190,284,4
191,61,0
192,285,0
192,286,1
193,287,0
193,288,1
193,416,3
193,289,3
194,290,0
194,291,1
195,417,0
195,292,0
196,293,0
197,418,0
197,294,0
198,295,0
198,419,1
198,296,1
199,420,0
199,297,0
200,298,0
201,299,0
202,300,0
202,362,1
202,57,1
203,301,0
204,302,0
204,303,1
205,302,0
205,154,1
205,302,4
